CMDLINE python bad_optimizing.py
MEM 1.570312 1686578261.4486
MEM 39.480469 1686578261.5537
MEM 74.257812 1686578261.6583
MEM 109.296875 1686578261.7624
MEM 143.992188 1686578261.8665
MEM 178.832031 1686578261.9706
MEM 213.847656 1686578262.0747
MEM 248.476562 1686578262.1788
MEM 282.597656 1686578262.2824
MEM 317.128906 1686578262.3865
MEM 351.625000 1686578262.4906
MEM 385.953125 1686578262.5937
MEM 421.156250 1686578262.6979
MEM 455.523438 1686578262.8016
MEM 489.007812 1686578262.9057
MEM 524.390625 1686578263.0098
MEM 558.683594 1686578263.1139
MEM 593.769531 1686578263.2180
MEM 627.789062 1686578263.3221
MEM 662.851562 1686578263.4262
MEM 696.964844 1686578263.5302
MEM 732.253906 1686578263.6343
MEM 767.351562 1686578263.7384
MEM 801.156250 1686578263.8425
MEM 836.542969 1686578263.9466
MEM 870.359375 1686578264.0507
MEM 905.339844 1686578264.1543
MEM 940.582031 1686578264.2584
MEM 986.492188 1686578264.3625
MEM 1008.210938 1686578264.4666
MEM 1043.457031 1686578264.5707
MEM 1078.714844 1686578264.6748
MEM 1112.167969 1686578264.7794
MEM 1147.347656 1686578264.8835
MEM 1182.515625 1686578264.9876
MEM 1217.687500 1686578265.0917
MEM 1250.968750 1686578265.1958
MEM 1286.105469 1686578265.2999
MEM 1321.230469 1686578265.4040
MEM 1356.613281 1686578265.5081
MEM 1389.613281 1686578265.6122
MEM 1424.734375 1686578265.7153
MEM 1459.425781 1686578265.8204
MEM 1491.625000 1686578265.9245
MEM 1526.789062 1686578266.0286
MEM 1559.648438 1686578266.1326
MEM 1595.144531 1686578266.2367
MEM 1630.375000 1686578266.3408
MEM 1666.015625 1686578266.4449
MEM 1701.371094 1686578266.5485
MEM 1737.058594 1686578266.6526
MEM 1769.667969 1686578266.7567
MEM 1805.000000 1686578266.8608
MEM 1840.437500 1686578266.9649
MEM 1875.847656 1686578267.0690
MEM 1911.273438 1686578267.1731
MEM 1946.664062 1686578267.2772
MEM 1977.656250 1686578267.3813
MEM 2013.281250 1686578267.4854
MEM 2048.910156 1686578267.5895
MEM 2084.496094 1686578267.6936
MEM 2119.968750 1686578267.7977
MEM 2155.304688 1686578267.9013
MEM 2190.777344 1686578268.0054
MEM 2222.398438 1686578268.1085
MEM 2257.800781 1686578268.2127
MEM 2293.289062 1686578268.3167
MEM 2328.484375 1686578268.4208
MEM 2363.820312 1686578268.5249
MEM 2399.203125 1686578268.6290
MEM 2434.636719 1686578268.7331
MEM 2470.007812 1686578268.8372
MEM 2501.308594 1686578268.9413
MEM 2536.632812 1686578269.0454
MEM 2572.019531 1686578269.1505
MEM 2607.363281 1686578269.2536
MEM 2642.441406 1686578269.3577
MEM 2677.507812 1686578269.4615
MEM 2711.882812 1686578269.5656
MEM 2747.066406 1686578269.6694
MEM 2782.269531 1686578269.7730
MEM 2812.437500 1686578269.8771
MEM 2847.863281 1686578269.9812
MEM 2883.371094 1686578270.0853
MEM 2918.871094 1686578270.1889
MEM 2954.386719 1686578270.2930
MEM 2989.800781 1686578270.3971
MEM 3025.265625 1686578270.5012
MEM 3060.832031 1686578270.6053
MEM 3096.335938 1686578270.7094
MEM 3131.937500 1686578270.8136
MEM 3161.898438 1686578270.9177
MEM 3197.484375 1686578271.0218
MEM 3232.812500 1686578271.1255
MEM 3268.238281 1686578271.2291
MEM 3303.585938 1686578271.3327
MEM 3338.898438 1686578271.4363
MEM 3374.484375 1686578271.5404
MEM 3410.207031 1686578271.6445
MEM 3445.820312 1686578271.7486
MEM 3481.164062 1686578271.8522
MEM 3516.386719 1686578271.9553
MEM 3545.777344 1686578272.0594
MEM 3581.265625 1686578272.1635
MEM 3616.808594 1686578272.2676
MEM 3652.089844 1686578272.3717
MEM 3687.472656 1686578272.4758
MEM 3722.984375 1686578272.5795
MEM 3758.390625 1686578272.6836
MEM 3793.671875 1686578272.7867
MEM 3828.863281 1686578272.8908
MEM 3864.250000 1686578272.9949
MEM 3899.769531 1686578273.0991
MEM 3935.082031 1686578273.2027
MEM 3970.359375 1686578273.3063
MEM 3998.898438 1686578273.4105
MEM 4033.593750 1686578273.5146
