CMDLINE python good_optimizing.py
MEM 1.566406 1686578402.7555
MEM 9.203125 1686578402.8597
MEM 9.203125 1686578402.9633
MEM 9.203125 1686578403.0674
MEM 9.203125 1686578403.1718
MEM 9.203125 1686578403.2769
MEM 9.203125 1686578403.3820
MEM 9.203125 1686578403.4861
MEM 9.203125 1686578403.5912
MEM 9.234375 1686578403.6949
MEM 9.234375 1686578403.7995
MEM 9.234375 1686578403.9046
MEM 9.234375 1686578404.0077
MEM 9.234375 1686578404.1118
MEM 9.328125 1686578404.2158
MEM 9.328125 1686578404.3206
MEM 9.328125 1686578404.4242
MEM 9.328125 1686578404.5288
MEM 9.328125 1686578404.6329
MEM 9.328125 1686578404.7376
MEM 9.328125 1686578404.8412
MEM 9.328125 1686578404.9454
MEM 9.328125 1686578405.0494
MEM 9.328125 1686578405.1535
MEM 9.328125 1686578405.2576
MEM 9.328125 1686578405.3617
MEM 9.328125 1686578405.4658
MEM 9.328125 1686578405.5709
MEM 9.328125 1686578405.6745
MEM 9.328125 1686578405.7793
MEM 9.328125 1686578405.8842
MEM 9.328125 1686578405.9883
MEM 9.328125 1686578406.0924
MEM 9.328125 1686578406.1965
MEM 9.328125 1686578406.3005
MEM 9.328125 1686578406.4047
MEM 9.328125 1686578406.5093
MEM 9.328125 1686578406.6134
MEM 9.328125 1686578406.7174
MEM 9.328125 1686578406.8218
MEM 9.328125 1686578406.9258
MEM 9.328125 1686578407.0306
MEM 9.328125 1686578407.1347
MEM 9.328125 1686578407.2388
MEM 9.328125 1686578407.3432
MEM 9.328125 1686578407.4482
MEM 9.328125 1686578407.5523
MEM 9.328125 1686578407.6574
MEM 9.328125 1686578407.7618
MEM 9.328125 1686578407.8662
MEM 9.328125 1686578407.9705
MEM 9.328125 1686578408.0756
MEM 9.328125 1686578408.1797
MEM 9.328125 1686578408.2848
MEM 9.328125 1686578408.3890
MEM 9.328125 1686578408.4926
MEM 9.328125 1686578408.5976
MEM 9.328125 1686578408.7006
MEM 9.328125 1686578408.8057
MEM 9.328125 1686578408.9092
MEM 9.328125 1686578409.0133
MEM 9.328125 1686578409.1176
MEM 9.328125 1686578409.2218
MEM 9.328125 1686578409.3271
MEM 9.328125 1686578409.4302
MEM 9.328125 1686578409.5343
MEM 9.328125 1686578409.6384
MEM 9.328125 1686578409.7435
MEM 9.328125 1686578409.8486
MEM 9.328125 1686578409.9528
MEM 9.328125 1686578410.0575
MEM 9.328125 1686578410.1616
MEM 9.328125 1686578410.2657
MEM 9.328125 1686578410.3698
MEM 9.328125 1686578410.4750
MEM 9.328125 1686578410.5781
MEM 9.328125 1686578410.6831
MEM 9.328125 1686578410.7878
MEM 9.328125 1686578410.8918
MEM 9.328125 1686578410.9958
MEM 9.328125 1686578411.1009
MEM 9.328125 1686578411.2048
MEM 9.328125 1686578411.3093
MEM 9.328125 1686578411.4134
MEM 9.328125 1686578411.5175
MEM 9.328125 1686578411.6218
MEM 9.328125 1686578411.7269
MEM 9.328125 1686578411.8306
MEM 9.328125 1686578411.9357
MEM 9.328125 1686578412.0393
MEM 9.328125 1686578412.1434
